Type équipement ou lieu,Nom,Adresse postale,libelle_geographique
Cinéma,CINEMA DU THEATRE,8 av. Charles de Gaulle 78170 La Celle-Saint-Cloud,La Celle-Saint-Cloud
Cinéma,CINEMA GERARD PHILIPE,1 pl. Jane Rhodes 92350 Le Plessis-Robinson,Le Plessis-Robinson
Cinéma,CINEMA JACQUES TATI,14 av. Saint Laurent 91400 Orsay,Orsay
Cinéma,CINEMA JEAN MARAIS,59 bd Carnot 78110 Le Vésinet,Le Vésinet
Cinéma,CINEMA JEAN VIGO,1 r. Pierre et Marie Curie 92230 Gennevilliers,Gennevilliers
Cinéma,CINEMA JEANNE MOREAU,22 r. Paul Vaillant Couturier 92140 Clamart,Clamart
Cinéma,CINEMA L'AVANT-SCENE,1 r. Alsace-Lorraine 91550 Paray-Vieille-Poste,Paray-Vieille-Poste
Cinéma,CINEMA LANDOWSKI,28 av. Andre-Morizet 92100 Boulogne-Billancourt,Boulogne-Billancourt
Cinéma,CINEMA LE CINQ,5 r. Delambre 77400 Lagny-sur-Marne,Lagny-sur-Marne
Cinéma,CINEMA LE GRENIER A SEL,pl. du 8 Mai 1945 78190 Trappes,Trappes
Cinéma,CINEMA LOUIS DAQUIN,76 r. Victor Hugo 93150 Le Blanc-Mesnil,Le Blanc-Mesnil
Cinéma,CINEMA PARADISO,2 r. Marc Sangnier 91330 Yerres,Yerres
Cinéma,CINEMA RUTEBEUF,16-18 Allées Leon-Gambetta 92110 Clichy,Clichy
Cinéma,CINEMA SORANO,1 r. Charles Pathe 94300 Vincennes,Vincennes
Cinéma,CINEMA VENTURA,r. Samuel Desbordes 91200 Athis-Mons,Athis-Mons
Cinéma,CINEMASSY,pl. de France 91300 Massy,Massy
Cinéma,CINEPAL,av. du 8 Mai 1945 91120 Palaiseau,Palaiseau
Cinéma,CINEPARADIS,10 av. Marechal de Villars 77300 Fontainebleau,Fontainebleau
Cinéma,CINES CARNE,pl. Marcel Carne 91240 Saint-Michel-sur-Orge,Saint-Michel-sur-Orge
Cinéma,CINETAMPES,pl. Geoffroy St Hilaire 91150 Étampes,Étampes
Cinéma,CINOCHE,all. Jean Wiener 91130 Ris-Orangis,Ris-Orangis
Cinéma,CINOCHE 4,av. de la Liberation 91130 Ris-Orangis,Ris-Orangis
Cinéma,CLUB DE L ETOILE,14 r. Troyon 75017 Paris 17e Arrondissement,Paris 17e Arrondissement
Cinéma,CONCORDE,4 av. des Bosquets 77290 Mitry-Mory,Mitry-Mory
Cinéma,COSMOS,22 av. de la Resistance 77500 Chelles,Chelles
Cinéma,Cinema  11x20 14,21 r. de la Croix-Rouge 77520 Mons-en-Montois,Mons-en-Montois
Cinéma,ECOLES CINEMA CLUB,23 r. des Ecoles 75005 Paris 5e Arrondissement,Paris 5e Arrondissement
Cinéma,ECRAN,14 pass. de l'Acqueduc 93200 Saint-Denis,Saint-Denis
Cinéma,ELYSEES LINCOLN,14 r. Lincoln 75008 Paris 8e Arrondissement,Paris 8e Arrondissement
Cinéma,ENTREPOT,7 et 9 r. Francis de Pressense 75014 Paris 14e Arrondissement,Paris 14e Arrondissement
Cinéma,EPEE DE BOIS,100 r. Mouffetard 75005 Paris 5e Arrondissement,Paris 5e Arrondissement
Cinéma,ERMITAGE,6 r. de France 77300 Fontainebleau,Fontainebleau
Cinéma,ESCURIAL,11 bd Port Royal 75013 Paris 13e Arrondissement,Paris 13e Arrondissement
Cinéma,ESPACE 1789,7/9 r. des Rosiers 93400 Saint-Ouen-sur-Seine,Saint-Ouen-sur-Seine
Cinéma,ESPACE BERNARD MANTIENNE,Voie de l'Aulne 91370 Verrières-le-Buisson,Verrières-le-Buisson
Cinéma,ESPACE CULTUREL,56 bis av. Carnot 94290 Villeneuve-le-Roi,Villeneuve-le-Roi
Cinéma,ESPACE CULTUREL DU PARC,pl. Maurice Niles 93700 Drancy,Drancy
Cinéma,ESPACE CULTUREL LES 26 COULEURS,imp. Pasteur 77310 Saint-Fargeau-Ponthierry,Saint-Fargeau-Ponthierry
Cinéma,ESPACE CULTUREL ROBERT-DOISNEAU,16 av. de Lattre de Tassigny 92190 Meudon,Meudon
Cinéma,ESPACE DES ARTS,pl. Charles de Gaulle 93320 Les Pavillons-sous-Bois,Les Pavillons-sous-Bois
Cinéma,ESPACE ERMITAGE,all. Ste Therese 95330 Domont,Domont
Cinéma,ESPACE JEAN-MARIE POIRIER,espl. du 18 Juin 1940 94370 Sucy-en-Brie,Sucy-en-Brie
Cinéma,ESPACE MAURICE BEJART,3 Blvd Andre Malraux 78480 Verneuil-sur-Seine,Verneuil-sur-Seine
Cinéma,ESPACE PAUL VALERY,72-74 av. Ardouin 94420 Le Plessis-Trévise,Le Plessis-Trévise
Cinéma,ESPACE PHILIPPE NOIRET,pl. Charles de Gaulle 78340 Les Clayes-sous-Bois,Les Clayes-sous-Bois
Cinéma,ESPACE PREVERT,Quartier du Plessis le Roi 77176 Savigny-le-Temple,Savigny-le-Temple
