official_name,address_txt,id
France Travail - La Courneuve,139 avenue Paul-Vaillant-Couturier 93120 La Courneuve,65e7cabf-6464-4ba2-ac43-4457adb6905d
France Travail - La Ferté-sous-Jouarre,8 rue de la Gare 77260 La Ferté-sous-Jouarre,503d9fb7-976a-4366-9f99-d8704ded7db6
France Travail - Lagny-sur-Marne,2630 rue du Pont-Hardy 77400 Lagny-sur-Marne,4a0c157d-f282-4b18-b7f4-de2fb1f4d770
France Travail - Le Blanc-Mesnil,22 avenue Albert-Einstein 93150 Le Blanc-Mesnil,c86dfb53-c01b-4165-8198-cf8eecfa01f4
France Travail - Les Mureaux,160 avenue Paul-Raoult 78130 Les Mureaux,7ee792c8-63af-4701-b705-41e27e0e2d23
France Travail - Les Ulis,2 avenue d'Alsace 91940 Les Ulis,0b4ec607-f209-45f0-92b7-d585f5da004e
France Travail - Levallois-Perret,99 rue Anatole-France 92300 Levallois-Perret,52a80a0a-ecfb-4561-b3b8-f289d263da6b
France Travail - Livry-Gargan,33 boulevard Robert-Schuman 93190 Livry-Gargan,fbaa6698-7135-4aea-b33b-28b53532b939
France Travail - Longjumeau,30 rue Maurice 91160 Longjumeau,d37d50ef-bdac-4216-b09f-27891d9f7051
France Travail - Maisons-Alfort,39 avenue Gambetta 94700 Maisons-Alfort,9bae457d-fb7f-444a-b1e7-3d43183c86fd
France Travail - Mantes-la-Jolie,2 bis boulevard Calmette 78200 Mantes-la-Jolie,84f9d61a-5a98-4ef4-a948-086e72ec19e5
France Travail - Meaux,12 boulevard Jean-Rose 77100 Meaux,d5d7e65f-5456-4472-a141-350cc17114f2
France Travail - Mitry-Mory,3 rue Paul-Gauguin 77290 Mitry-Mory,afc26701-577f-4ee9-bc48-f2ae6fcba89c
France Travail - Montereau-Fault-Yonne,2 rue Edmond-Fortin 77130 Montereau-Fault-Yonne,0bba9740-2cd9-4d10-874d-8945c421411e
France Travail - Montmorency,27 rue Ferber 95160 Montmorency,bcac1fb5-f6af-47c2-80aa-cdc47f6e65bc
France Travail - Montreuil-sous-Bois,7 Rue des Longs-Quartiers 93100 Montreuil,20e22858-93eb-4c2d-9dfc-57f2df68b2c8
France Travail - Montrouge,223 avenue Pierre-Brossolette 92120 Montrouge,c3fed55a-1f1c-4919-8ab6-11910ae9a587
France Travail - Nanterre,20 rue Gambetta 92000 Nanterre,6e9851a2-5c82-4edd-8cb9-890fa2042446
France Travail - Nemours,30 avenue de Lyon 77140 Nemours,75fcfad7-5dcd-46ed-9231-c391f2730eff
France Travail - Neuilly-sur-Marne,10 rue Jean-Perrin 93330 Neuilly-sur-Marne,87407bee-7740-4378-85da-ec0f7e54a6d5
France Travail - Nogent-sur-Marne,3-5 rue Jean-Monnet 94130 Nogent-sur-Marne,f6a5ed9b-7d37-4520-9ad4-7f448e6443d6
France Travail - Noisy-le-Grand,8 rue du Maréchal-Juin 93160 Noisy-le-Grand,bfcd2ffd-6bba-4f95-9c0b-b5c81e29711e
France Travail - Noisy-le-Sec,54 rue Paul-Vaillant-Couturier 93130 Noisy-le-Sec,6f057bcd-a195-45be-a06e-034c3bead1c9
France Travail - Palaiseau,9 rue Édouard-Branly 91120 Palaiseau,14bdcf50-fe45-478c-9794-1db201720284
France Travail - Pantin,188 avenue Jean-Lolive 93500 Pantin,829f77f2-2890-42d6-a394-ef3091965fbe
France Travail - Paris - 10e arrondissement - Vicq-d'Azir,26 rue Vicq-d'Azir 75010 Paris,686c1b0d-bac4-49df-9cb2-88f47f5b2ace
France Travail - Paris - 11e arrondissement - Beaumarchais,11 rue Pelée 75011 Paris,02bb7f9c-af67-4bfa-b602-45ece0fa9cb7
France Travail - Paris - 12e arrondissement - Diderot,3 boulevard Diderot 75012 Paris,4c526ee9-b4f4-4633-8909-c1afcff27137
France Travail - Paris - 15e arrondissement - Brancion - AVS-placement-artistes,10 rue Brancion 75015 Paris,50e35a43-996a-470a-b5cd-30ac528d28d9
France Travail - Paris - 15e arrondissement - Cinéma Spectacle Paris,202 rue de la Croix-Nivert 75015 Paris,7d6934a9-173d-403b-9948-c3a341964d56
France Travail - Paris - 16e et 17e arrondissements - Cardinet,8 rue Bernard-Buffet 75017 Paris,5ecbfe9c-b4f6-49f2-8ce0-69b53a9d9ee4
France Travail - Paris - 18e arrondissement - Genevoix,11 rue Maurice-Genevoix 75018 Paris,c5b0419d-8989-4ad2-8dd4-852f29dccd9b
France Travail - Paris - 18e arrondissement - Ney,78 boulevard Ney 75018 Paris,6aa943ce-28f3-40b4-bc14-d955c5f2aa3c
France Travail - Paris - 19e arrondissement - Armand-Carrel,44 rue Armand-Carrel 75019 Paris,4851f6b4-bb41-4c47-8de8-c827bcb6c2c1
France Travail - Paris - 19e arrondissement - Laumière,75 avenue Jean-Jaurès 75019 Paris,93467ec4-ea5d-4d75-889e-5484dd03b76d
"France Travail - Paris - 1er, 2e, 3e et 4e arrondissements - Paul-Lelong",4 rue Paul-Lelong 75002 Paris,ade77285-25ea-4e67-8c40-a8bb440933a9
France Travail - Paris - 20e arrondissement - Piat,51 rue Piat 75020 Paris,e80e3832-328c-4757-bc27-19a84a8a2867
France Travail - Paris - 20e arrondissement - Vitruve,60 rue Vitruve 75020 Paris,45c781d9-99c3-4deb-87b4-6fda9eaa452c
France Travail - Paris - 5e et 13e arrondissements - Daviel,27 rue Daviel 75013 Paris,7981be67-946c-4928-81d3-65a66eac5ee2
France Travail - Paris - 6e et 14e arrondissements - Jean-Moulin,9 rue Friant 75014 Paris,1e24e7c5-b177-44e5-99ce-361b0dbb240e
"France Travail - Paris - 7e, 8e et 9e arrondissements - Saint-Pétersbourg",34 rue Saint-Pétersbourg 75008 Paris,60e55678-9d52-4dfa-b908-ef10bc063b5a
France Travail - Persan,4 rue Jean-Moulin 95340 Persan,3cff3af6-8d1a-4393-a053-fd936757ebb7
France Travail - Plaisir,1416 boulevard Léon-Blum 78370 Plaisir,3a90c52b-b221-41cf-a0c0-3c83b66a9edc
France Travail - Poissy,2 place Georges-Pompidou 78300 Poissy,9f27c159-2121-4c46-a305-6f43061ec7ff
France Travail - Pontault-Combault,50 rue du Pré-des-Aulnes 77340 Pontault-Combault,1fbf14ce-35f9-41ac-b604-381284f9e147
France Travail - Provins,5 rue Gustave-Chrétien 77160 Provins,60b382e2-0143-4a6e-92b5-17bdb7c3aae6
France Travail - Puteaux,116 rue de Verdun 92800 Puteaux,525b36a6-8810-4593-8e62-364b07f2fdb4
France Travail - Rambouillet,1 rue Claude-Chappe 78120 Rambouillet,8489b6c1-2532-4011-8131-ad9f1aeef816
France Travail - Rosny-sous-Bois,6 rue de Rome 93110 Rosny-sous-Bois,5db438b2-385d-4c3a-82cd-f4acbfed3a29
France Travail - Rueil-Malmaison,128 rue Danton 92500 Rueil-Malmaison,7c8f9b3b-9008-414d-8e53-e9feefaf303b
France Travail - Saint-Germain-en-Laye,101 rue Pereire 78100 Saint-Germain-en-Laye,8f4f823c-eaae-4f44-b925-bc4a09870587
France Travail - Saint-Gratien,6 rue du Maréchal-Juin 95210 Saint-Gratien,e380d95d-0672-4fd1-b41b-5f20a3930d8b
France Travail - Saint-Maur-des-Fossés,16 rue Léon-Bocquet 94100 Saint-Maur-des-Fossés,9c00f77d-8184-400c-a518-0535fcb865b7
France Travail - Saint-Ouen,44 avenue du Capitaine-Glarner 93400 Saint-Ouen,bc365e39-2940-4102-bed4-520471c48e53
France Travail - Saint-Ouen-l'Aumône,60 rue de Paris 95310 Saint-Ouen-l'Aumône,5788dc57-a704-4c90-a77b-b892f3da5d11
France Travail - Sainte-Geneviève-des-Bois,141 route de Corbeil 91700 Sainte-Geneviève-des-Bois,5e29aa16-cb0d-4569-bb30-a243955f60ce
France Travail - Sarcelles,43 avenue Paul-Valéry 95200 Sarcelles,9b061278-cfc3-48f0-b734-425697b326c8
France Travail - Sartrouville,27 rue Lamartine 78500 Sartrouville,7ebe6136-56ce-4a44-80ff-d3e23312df91
France Travail - Savigny-le-Temple,29 avenue Jules-Vallès 77176 Savigny-le-Temple,b9c9a97b-d45d-40a7-b168-b2fb1aa8928e
France Travail - Savigny-sur-Orge,11 avenue de Garigliano 91600 Savigny-sur-Orge,9dcf8677-c111-489b-a78e-404d696caa63
France Travail - Sevran,2 rue Paul-Langevin 93270 Sevran,2bcd40e9-ab99-4738-ac65-017ce469b3b2
France Travail - Stains,35 rue du Moulin-Neuf 93240 Stains,fb027050-c8d5-4bd4-9998-4b41424ea9fe
France Travail - Sucy-en-Brie,9 allée du Pacifique 94370 Sucy-en-Brie,69287708-b479-45ee-bcb8-44c30f9e1c50
France Travail - Taverny,47 rue de Montmorency 95150 Taverny,860757d5-1e4f-4c08-b38b-39bb0d6fbd29
